,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,artist rank,play.count,play.count.th
1,2.84E-06,0.305,97560,0.827,0.00245,5,0.335,-5.789,1,0.147,159.882,4,0.463,1,Time-Out,Terror Train,1,1418,1.418
2,0.00201,0.734,394857,0.686,0.11,5,0.0408,-9.781,0,0.0761,128.021,4,0.543,1,Elevate - Q45 Remix,Toni Toni Lee,1,1472,1.472
3,0.000341,0.821,397166,0.902,0.909,11,0.0898,-7.203,1,0.0542,112.98,4,0.269,1,Get Up,Craig Bratley,1,1521,1.521
4,0.0816,0.611,152869,0.487,0.116,2,0.111,-10.629,1,0.0275,105.034,3,0.667,0,Bath Salts,Travis Hayes,1,1854,1.854
5,0.00402,0.872,198101,0.565,0.237,7,0.0947,-10.236,1,0.0708,125.992,4,0.885,1,Dance Our Way,DJ Eleven,1,1981,1.981
227,0.02,0.671,200754,0.781,0,2,0.0718,-5.363,1,0.311,134.02,4,0.684,1,Every Freakin' - DJ Ayres remix,DJ Eleven,1,520817,520.817
6,0.000321,0.647,369235,0.793,0.833,3,0.401,-7.416,0,0.0454,130.007,4,0.188,1,Work - The Advent & Spiriakos Remix,ZZT,1,2314,2.314
7,0.00884,0.51,286290,0.603,0.286,9,0.0569,-6.949,0,0.174,139.876,4,0.094,1,I'm in LOVE With GO-GO Dancer (Disco Diva) - Future of TRAP Mix,Trendsetter,1,2566,2.566
182,0.114,0.665,216728,0.513,0.303,0,0.122,-7.314,1,0.331,100.344,3,0.0373,1,"Damn Son, Where'd You Find This? - Future of TRAP Mix",Trendsetter,1,353605,353.605
8,0.000429,0.782,351707,0.938,0.121,10,0.118,-8.692,0,0.05,118.086,4,0.872,1,Lets Start the Dance,Bohannon,1,2866,2.866
9,0.0167,0.797,211882,0.961,0.919,10,0.107,-8.083,0,0.0677,128.015,4,0.355,1,Symptom - Original Mix,Deapmash,1,2876,2.876
10,0.224,0.752,437293,0.767,0.931,5,0.0833,-8.022,0,0.0469,117.973,4,0.564,1,One Of Us - Original Mix,Iron Galaxy & Sexlife,1,4711,4.711
11,0.432,0.744,232611,0.685,0,7,0.319,-8.332,1,0.34,87.675,4,0.56,1,Do You Like It? (Feat. Kool A.D),Chaz Van Queen,1,4972,4.972
12,0.000294,0.827,352341,0.462,0.543,8,0.0886,-10.673,1,0.0623,123.994,4,0.341,1,Pleasure Power (DJ Smash Disco Remix),Afrolicious,1,6972,6.972
13,0.666,0.827,202360,0.503,0.443,1,0.123,-11.007,1,0.0352,119.35,4,0.94,1,Black Boy,Pops Staples,2,7285,7.285
610,0.565,0.63,247293,0.374,0.00146,5,0.107,-11.305,1,0.177,166.999,4,0.573,1,Somebody Was Watching,Pops Staples,2,3723871,3723.871
14,0.00254,0.696,502888,0.643,0.834,7,0.276,-10.124,1,0.0407,117.514,4,0.537,1,Taifa,Partial Arts,1,7475,7.475
33,0.000641,0.787,520311,0.679,0.912,7,0.0618,-12.377,1,0.0534,117.501,3,0.214,1,Taifa - The Emperor Machine Mix,Partial Arts,1,29677,29.677
15,0.014,0.962,156800,0.592,0.642,9,0.134,-11.716,0,0.108,130.684,4,0.361,1,Check Me Out Like,Blaqstarr,1,8656,8.656
16,0.00135,0.794,375179,0.481,0.883,6,0.0833,-11.97,1,0.149,114.003,4,0.314,1,Space Cakes - Original,Tanner Ross,1,8666,8.666
17,0.000145,0.54,293646,0.945,0.753,9,0.667,-6.64,1,0.0406,92.995,4,0.87,1,Fail to Cry,Yacht Club,1,10111,10.111
18,0.049,0.594,457205,0.77,0.9,0,0.103,-7.082,1,0.0629,125.987,4,0.14,1,The Mighty Ming - Original Club Mix,Funkagenda,1,11111,11.111
19,0.453,0.815,230307,0.672,0,8,0.112,-5.675,1,0.27,151.362,4,0.813,1,Jacket & Tie,Toyan,1,11701,11.701
20,0.000423,0.723,358436,0.669,0.936,11,0.0751,-5.026,0,0.0582,126.013,4,0.156,1,For Your Love - Olav Basoski Remix,The Partysquad,2,11798,11.798
22,0.000839,0.802,334849,0.586,0.0212,5,0.0587,-6.245,1,0.103,128.011,4,0.407,1,For Your Love - Club Edit,The Partysquad,2,13125,13.125
58,0.00417,0.9,262168,0.929,2.04E-05,7,0.524,-0.718,1,0.148,129.991,4,0.566,1,The Lion - Original Mix,The Partysquad,2,57722,57.722
76,0.0106,0.774,227327,0.92,0.433,11,0.146,-4.213,1,0.25,128.97,4,0.223,1,My Bad - Club Mix,The Partysquad,2,91556,91.556
674,0.00749,0.587,250299,0.784,0.0126,9,0.264,-4.878,1,0.0469,139.99,4,0.13,1,Oh My - Club Mix,The Partysquad,2,4595668,4595.668
21,0.13,0.61,178560,0.672,0.00283,7,0.109,-7.436,0,0.305,129.986,4,0.925,1,Topless,Orlando Julius,1,12582,12.582
23,0.0423,0.84,397388,0.918,0.613,7,0.306,-9.251,1,0.0672,124.847,4,0.468,1,Anti Social Tendencies,The Parallax Corporation,1,15535,15.535
24,0.152,0.702,420107,0.504,5.11E-06,9,0.22,-16.794,1,0.342,121.374,4,0.794,1,Ride The Rhythm,On The House featuring Marshall Jefferson,1,15603,15.603
25,0.164,0.824,181800,0.513,0,8,0.0487,-9.591,1,0.208,99.938,4,0.568,1,Stomp - Dirty,5kinAndBone5,1,16007,16.007
26,0.00263,0.725,238640,0.798,2.14E-06,0,0.0791,-6.75,0,0.162,124.045,4,0.72,1,Can't Shake This Feeling,Grum,1,18247,18.247
27,0.0302,0.798,216585,0.481,0,7,0.128,-10.488,1,0.314,127.136,4,0.64,1,Trill Hoe,Western Tink,1,18268,18.268
28,0.00325,0.686,280480,0.61,0.000123,5,0.0984,-7.952,0,0.0297,143.598,4,0.861,1,Akue We Non Houme - Jerk Fon,T. P. Orchestre Poly-Rythmo,1,19265,19.265
51,0.375,0.796,252547,0.86,0.00457,5,0.0745,-6.202,0,0.0653,129.008,3,0.973,1,Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo,1,50603,50.603
93,0.517,0.691,445227,0.714,0.0164,1,0.178,-9.694,1,0.046,91.045,4,0.96,1,Ecoute ma mМ©lodie - Bossa Afro,T. P. Orchestre Poly-Rythmo,1,123733,123.733
29,0.827,0.712,279800,0.77,0.548,10,0.0726,-13.187,0,0.0345,106.963,4,0.973,1,Look at You,George McCrae,1,22157,22.157
30,0.483,0.687,152400,0.724,0,7,0.057,-4.206,1,0.069,139.705,4,0.974,0,"To Roz Bikini (Itsy, Bitsy, Teenie, Weenie)",Polina,1,26795,26.795
31,0.0436,0.805,192623,0.634,0,7,0.0579,-7.759,1,0.0535,143.944,4,0.76,1,Had A Dream,EMP DASME,1,27887,27.887
32,0.196,0.388,238000,0.688,0.00883,5,0.0781,-8.407,0,0.0708,170.678,3,0.804,1,Sugar for the Queen,Bells Atlas,1,28055,28.055
34,0.0557,0.599,222160,0.677,0.00018,11,0.434,-6.328,1,0.0314,126.012,4,0.108,1,I Need You,Glass Figure,1,30720,30.72
35,0.394,0.76,520133,0.971,0.775,5,0.138,-4.582,0,0.0549,125.439,4,0.992,1,Abataka - Original Mix,Ida Engberg,1,31473,31.473
36,0.135,0.691,264213,0.737,0.0291,10,0.127,-5.758,0,0.0447,108.049,4,0.675,1,See Blind Through,Canyons,1,32334,32.334
37,0.289,0.444,346360,0.978,0.778,6,0.171,-6.238,1,0.0998,125.371,4,0.463,1,Play This (Also),J Rocc,1,34613,34.613
38,0.000686,0.745,384907,0.857,0.2,0,0.022,-5.754,1,0.0393,115.945,4,0.946,1,Flying High (Part 1),Cloud One,1,36129,36.129
39,0.00318,0.663,146906,0.877,0.00217,5,0.124,-3.37,0,0.0538,135.989,4,0.396,1,Never Be Your Woman (Shy FX Radio Edit) [feat. Emeli SandМ©],Wiley,1,36429,36.429
1296,0.0468,0.876,170480,0.716,0.000482,1,0.0667,-6.884,1,0.135,131.942,4,0.758,1,Wearing My Rolex - Radio Edit,Wiley,4,32746087,32746.087
40,0.741,0.941,47547,0.256,1.06E-05,1,0.0841,-11.478,1,0.108,110.082,4,0.545,0,Little Green Apple,Tumble Tots,1,37008,37.008
41,0.0956,0.646,282791,0.929,1.12E-06,2,0.159,-1.501,1,0.194,128.995,4,0.229,1,Move Your Body - Extended Mix,Benny Benassi,1,40510,40.51
1554,0.00901,0.635,307987,0.983,0.00799,6,0.0683,-3.807,0,0.174,145.085,4,0.422,0,Cinema - Skrillex Remix,Benny Benassi,4,90492366,90492.366
42,0.915,0.277,295747,0.0156,0.00654,7,0.148,-24.801,1,0.0482,117.119,3,0.0855,0,"String Quartet No. 4 in C Major, D. 46: II. Andante con moto",Franz Schubert,1,41371,41.371
101,0.993,0.294,621280,0.142,0.912,7,0.0673,-20.374,1,0.0388,94.296,4,0.199,0,"Piano Sonata No. 18 in G Major, Op. 78, D. 894: IV. Allegretto",Franz Schubert,1,141267,141.267
43,0.00206,0.469,235301,0.821,0.00914,2,0.258,-5.055,0,0.0397,173.964,4,0.226,1,We Are Young - The Popopopops Remix,Juveniles,1,43260,43.26
44,0.0079,0.428,316444,0.74,0.935,0,0.0985,-10.026,1,0.0588,134.981,4,0.0576,1,Club Rez,Girl Unit,1,44289,44.289
45,0.0672,0.802,451341,0.872,0.0197,5,0.0941,-6.346,0,0.0557,117.005,4,0.68,1,Stand Up - Tiger & Woods Remix,Pitchben,1,46176,46.176
46,0.0071,0.498,106680,0.721,0,4,0.122,-6.695,1,0.0327,93.31,4,0.673,0,Jelly Beans,The Hipwaders,1,47805,47.805
47,0.649,0.603,100693,0.355,0,0,0.0952,-9.624,1,0.0566,111.405,4,0.441,0,Curse of the Spinach,Trout Fishing in America,1,48626,48.626
56,0.809,0.802,156373,0.288,0,7,0.0745,-11.372,1,0.129,119.882,4,0.722,0,Always Chew Your Food,Trout Fishing in America,1,56108,56.108
48,0.121,0.719,216000,0.66,0,2,0.127,-8.22,1,0.0829,119.996,4,0.357,1,Kids,Iamsu!,1,48927,48.927
64,0.45,0.622,218480,0.628,0,7,0.251,-9.964,0,0.243,144.812,4,0.304,1,Best Wishes,Iamsu!,1,69573,69.573
285,0.000548,0.831,155042,0.373,0.000362,1,0.1,-6.896,1,0.157,96.115,4,0.356,1,(Bonus) Break Her Down,Iamsu!,1,788103,788.103
370,0.00221,0.632,156614,0.793,0,10,0.171,-4.171,0,0.102,189.992,4,0.393,1,Get It In,Iamsu!,1,1312427,1312.427
49,0.0263,0.739,257600,0.878,0.407,6,0.0477,-5.464,0,0.0788,126.705,4,0.855,1,Mary-Mary (M&M Unreleased Mix) [feat. Dajae],Grand High Priest,1,50022,50.022
50,0.136,0.185,105858,0.89,0,2,0.777,-4.182,1,0.0524,163.315,4,0.322,1,I'm a Dildo,No Parents,1,50029,50.029
52,0.0301,0.769,703107,0.514,0.016,9,0.0394,-14.157,1,0.052,119.674,4,0.719,1,Who Is He And What Is He To You,Creative Source,1,51003,51.003
53,0.147,0.554,191947,0.844,7.27E-06,9,0.329,-7.763,1,0.0468,159.119,4,0.935,0,C'mon Let's Make A Pizza,We Kids Rock,1,51397,51.397
54,0.311,0.675,205740,0.617,0,10,0.19,-7.74,1,0.256,140.124,4,0.508,1,I'm A Martian,Brian Pumper,1,54605,54.605
55,0.000419,0.823,259680,0.811,0.0745,1,0.176,-6.158,1,0.0661,104.63,4,0.718,1,How Do You See Me Now,Zdar,1,55276,55.276
57,0.0707,0.947,150152,0.829,0,9,0.28,-5.337,0,0.361,129.991,4,0.837,0,Fuck Kd,Yung Starr,1,56742,56.742
59,0.207,0.54,360867,0.21,0.0765,0,0.334,-18.687,0,0.0461,103.081,3,0.411,1,Tupelo,Steve Cropper,1,60912,60.912
60,2.67E-05,0.336,282401,0.983,0.00362,11,0.257,-1.812,0,0.128,113.711,4,0.131,0,Permanent Intoxication,Mycelia,1,61084,61.084
61,0.00042,0.22,82893,0.94,0.000541,0,0.0926,-2.397,1,0.0511,83.072,4,0.72,1,Just Wanna Love You Girl,Epsilons,1,61368,61.368
62,4.19E-05,0.636,326129,0.864,0.887,5,0.104,-9.618,0,0.044,123.972,4,0.611,1,Nobodys Fool - Ben Pearce Remix,Real Connoisseur,1,64999,64.999
63,0.0219,0.63,222546,0.684,0.00108,11,0.103,-6.74,0,0.0399,142.952,4,0.881,0,‘гц“ЄЫ“ќчђ_µ“ЬќLove Equation,’УО‘_З’ҐЏFlat Feet,1,66591,66.591
65,0.000588,0.803,426850,0.769,0.9,6,0.0683,-7.025,1,0.0561,122.992,4,0.17,1,BIG Fun - Full Intention 88 Remix,Inner City,1,77067,77.067
286,0.0295,0.793,432800,0.978,0.0331,11,0.0764,-9.229,0,0.0648,124.922,4,0.711,1,Good Life - Original 12'' Mix,Inner City,1,790899,790.899
378,0.0492,0.738,461560,0.808,0.734,10,0.036,-9.772,0,0.0522,120.248,4,0.816,1,Big Fun - Original 12'' Mix,Inner City,1,1348393,1348.393
66,0.364,0.819,186817,0.677,0.0313,5,0.0915,-5.703,0,0.0423,94.975,4,0.93,0,MWAH,Humming Urban Stereo,1,79878,79.878
88,0.368,0.717,232944,0.844,1.93E-05,1,0.255,-5.363,0,0.0299,110.023,4,0.825,0,Sneakers,Humming Urban Stereo,1,106920,106.92
67,0.411,0.236,186426,0.706,5.43E-06,0,0.953,-6.544,1,0.0601,105.624,3,0.313,1,You Are My Special Angel,The Vogues,1,83141,83.141
